longitude;latitude
-9.295.639;4.502.537
-9.295.165;4.497.536
-9.296.707;4.498.915
-9.294.963;4.497.597
-929.541;4.498.335
-9.295.327;4.498.086
-9.296.141;4.497.152
-929.561;4.502.525
-9.295.075;4.498.724
-9.295.574;4.501.267
-929.618;4.501.875
-9.294.986;4.497.595
-9.295.101;4.498.955
-9.296.066;4.501.237
-92.981;4.502.671
-9.294.752;449.875
-9.296.238;4.501.413
-9.296.209;4.498.951
-9.297.524;4.500.356
-9.294.808;4.497.979
-9.297.745;4.498.234
-9.296.357;450.113
-9.295.218;4.495.528
-9.296.301;4.500.874
-9.297.287;449.663
-9.295.216;4.499.259
-929.834;4.502.411
-9.294.727;449.887
-9.294.905;4.501.508
-9.295.426;449.711
-9.295.541;4.502.289
-929.618;4.501.875
-9.294.832;4.497.557
-9.297.573;4.496.632
-9.294.631;4.497.852
-9.297.805;449.818
-9.297.604;4.498.604
-9.294.286;4.495.441
-9.294.927;4.497.941
-9.295.035;4.497.921
-9.297.985;449.548
-9.294.387;4.495.441
-9.297.769;4.497.609
-9.295.562;449.898
-9.297.661;4.502.019
-9.294.896;4.499.265
-9.297.154;4.496.587
-9.298.068;4.497.763
-92.951;4.501.867
-9.294.845;4.495.977
-9.295.287;4.501.551
-9.297.631;4.502.632
-9.294.544;44.981
-9.297.372;4.497.146
-9.294.779;4.496.756
-9.295.072;450.173
-9.295.574;4.498.611
-9.295.055;4.496.061
-9.294.582;4.496.125
-9.294.545;4.496.119
-9.294.107;449.604
-9.294.698;4.495.866
-9.294.576;4.496.124
-9.294.894;450.169
-9.295.134;4.496.333
-9.313.163;4.495.783
-9.313.971;4.494.951
null;null
-9.310.215;4.496.817
-9.311.846;4.496.095
-9.311.115;449.748
-9.311.476;4.494.888
-9.307.893;4.495.747
-9.312.344;4.499.325
-9.314.975;4.493.071
-9.314.975;4.493.071
-9.312.244;449.666
-9.315.558;4.496.728
-9.314.975;4.493.071
-931.126;4.493.896
-9.310.703;4.498.721
-9.312.244;449.666
-9.311.481;4.498.341
-930.973;4.494.888
-9.312.858;4.495.835
-9.309.804;4.497.448
-9.310.243;449.697
-9.307.543;4.496.769
-9.310.584;4.497.245
-9.314.975;4.493.071
-9.306.265;4.498.302
-9.314.975;4.493.071
-9.310.967;4.499.184
-9.309.933;4.498.924
-9.311.362;4.498.388
-9.314.298;44.965
-9.314.698;4.493.755
-9.311.075;4.498.262
-9.311.002;449.435
-9.304.722;4.495.549
-9.314.975;4.493.071
-9.312.244;449.666
-9.301.245;4.494.538
-9.305.679;4.497.025
-9.309.287;4.496.518
-9.306.112;449.566
-9.309.009;4.493.075
-930.942;4.497.467
-9.312.664;4.495.806
-9.314.975;4.493.071
-9.306.777;4.497.865
-9.314.929;4.495.937
-9.301.695;4.496.649
-9.315.752;4.497.187
-9.309.869;4.494.961
-9.311.972;4.493.171
-930.762;4.496.342
-9.306.265;4.497.024
-9.311.661;4.495.765
-9.309.752;4.494.899
-9.307.225;4.497.018
-930.436;4.494.999
-9.304.722;4.495.549
-9.304.264;4.496.875
-930.637;4.497.551
-9.307.496;4.492.421
-9.306.189;4.495.592
-9.304.722;4.495.549
-9.304.483;4.496.501
-9.313.095;4.495.655
-9.301.345;4.495.837
-9.314.975;4.493.071
-9.316.699;4.496.406
-9.311.636;4.495.798
-9.314.975;4.493.071
-9.311.002;449.435
-9.314.929;4.495.937
-9.315.957;4.494.035
-9.309.489;4.494.927
-9.315.123;4.496.188
-930.916;4.496.503
-9.307.732;4.492.033
-9.309.869;4.494.961
-9.302.685;4.498.735
-9.311.866;4.493.527
-9.315.028;4.492.999
-9.307.659;4.495.675
-930.288;4.496.301
-9.311.224;4.493.523
-9.310.006;4.493.152
-9.314.373;4.495.013
-9.308.284;4.496.801
-9.308.746;4.492.955
-9.312.124;4.495.123
-9.312.447;4.496.928
-9.313.815;4.495.014
-9.308.246;4.493.348
-931.146;4.498.374
-9.309.936;4.493.161
-9.311.817;4.498.942
-9.300.504;4.496.034
-9.302.519;4.496.154
