latitude;longitude;walkscore;bikescore;;
4.493.616;-9.316.128;66;68;;
4.496.728;-9.315.619;49;58;;
449.331;-9.315.238;55;67;;
4.497.851;-9.312.792;33;68;;
449.415;-9.311.482;70;63;;
4.494.888;-9.311.476;79;67;;
4.492.466;-9.307.271;43;38;;
4.497.025;-9.305.543;54;60;;
4.499.773;-9.303.713;26; null;;
4.496.638;-9.300.538;37;58;;
4.496.125;-9.300.504;43;64;;
4.497.847;-929.884;19; null;;
4.490.005;-9.296.769;10; null;;
450.196;-9.296.516;10; null;;
4.489.533;-9.296.373;8; null;;
4.496.798;-9.295.093;29; null;;
448.995;-929.324;6; null;;
4.494.251;-9.289.896;53; null;;
449.292;-9.287.679;1; null;;
4.492.411;-9.287.554;1; null;;
4.490.266;-9.317.501;64;55;;
449.509;-9.316.192;75;79;;
4.493.635;-9.314.423;81;69;;
4.493.897;-9.313.951;84;70;;
4.497.683;-9.311.497;49;54;;
4.492.248;-9.308.206;52;36;;
4.492.933;-9.307.282;65;50;;
4.492.323;-9.306.871;23;22;;
4.497.553;-9.305.212;61;72;;
4.501.828;-9.302.657;22; null;;
4.489.707;-9.295.979;4; null;;
450.231;-929.553;1; null;;
4.498.826;-9.295.217;3; null;;
4.501.418;-9.295.074;0; null;;
44.961;-9.293.057;20; null;;
4.490.741;-9.291.389;4; null;;
4.491.708;-9.288.739;11; null;;
4.489.552;-9.288.694;1; null;;
4.490.576;-9.318.253;35;58;;
449.473;-9.317.335;79;78;;
4.491.535;-9.314.685;49;60;;
4.496.074;-9.314.623;61;65;;
4.496.206;-9.312.634;75;74;;
4.492.676;-9.310.057;58;63;;
4.497.487;-9.309.958;57;65;;
4.497.401;-9.309.799;53;69;;
4.498.474;-930.865;30;68;;
4.492.212;-930.841;46;34;;
4.499.045;-9.307.378;23;47;;
4.498.027;-9.306.831;72;59;;
4.496.921;-9.306.503;81;73;;
449.719;-9.305.963;69;61;;
4.501.781;-9.305.915;16; null;;
4.498.736;-9.302.925;67;57;;
4.498.736;-9.302.864;70;58;;
4.495.777;-9.302.851;46;47;;
449.454;-9.301.672;43;63;;
449.663;-9.297.287;25; null;;
4.496.337;-9.297.123;42; null;;
4.500.209;-9.296.927;10; null;;
4.498.066;-9.296.842;3; null;;
4.498.915;-9.296.707;12; null;;
4.501.904;-9.296.674;9; null;;
4.489.179;-9.295.467;4; null;;
4.492.752;-9.294.719;7; null;;
4.489.413;-9.293.563;4; null;;
4.495.223;-9.292.176;14; null;;
4.491.729;-9.290.061;17; null;;
449.232;-9.319.136;69;77;;
4.492.561;-9.316.721;66;64;;
44.938;-9.316.135;69;72;;
4.496.603;-9.316.069;64;67;;
4.496.221;-9.316.035;70;74;;
449.716;-9.314.616;43;74;;
4.494.088;-9.312.834;89;69;;
4.497.372;-9.311.218;60;53;;
4.498.497;-9.310.726;67;56;;
4.496.158;-9.308.318;51;64;;
4.493.784;-9.302.057;8;37;;
449.637;-9.300.708;41;63;;
4.490.833;-9.297.601;21; null;;
4.498.916;-929.683;10; null;;
4.491.003;-9.294.506;9; null;;
4.493.984;-9.294.421;52; null;;
4.492.757;-9.292.197;6; null;;
449.546;-9.292.157;0; null;;
4.491.777;-9.289.256;9; null;;
4.493.904;-9.288.848;15; null;;
4.491.322;-9.318.289;65;51;;
4.493.799;-9.317.768;79;72;;
4.496.406;-9.316.699;82;76;;
4.496.928;-9.312.447;52;72;;
4.492.744;-9.307.526;60;45;;
4.492.947;-9.306.996;52;48;;
4.496.214;-9.304.235;42;57;;
4.494.589;-930.289;36;43;;
4.496.934;-9.295.009;26; null;;
449.887;-9.294.727;7; null;;
4.489.876;-9.293.498;4; null;;
4.490.656;-9.293.323;5; null;;
449.402;-9.292.452;58; null;;
4.491.779;-9.292.029;24; null;;
4.491.435;-9.288.748;8; null;;
4.489.792;-9.288.605;1; null;;
4.490.438;-9.318.559;32;64;;
4.490.008;-931.762;60;72;;
4.496.008;-9.317.142;81;79;;
4.495.119;-9.316.252;75;79;;
4.493.316;-9.315.661;61;68;;
4.492.851;-9.314.042;59;69;;
4.492.485;-9.313.803;65;62;;
4.492.127;-9.313.313;62;72;;
449.727;-9.313.065;45;68;;
4.498.647;-9.313.029;22;42;;
4.493.527;-9.311.866;55;79;;
449.386;-9.310.963;70;78;;
449.941;-9.307.611;16; null;;
4.499.125;-930.747;22;48;;
4.497.531;-9.303.849;66;69;;
